Number,Source.Url,Country,Region,Class,Project.Approval.Date,Project.Location,Project.Description,Goal.Project.Number,Objectives,Goal.Contribution,Fap.Contribution,Ma.Contribution,Other.Contribution,TotalBudget,Total.Paid,Fifa.points.2015,Fifa.rank.2015,Fifa.points.2000,Fifa.rank.2000,diff_rank,diff_points,id,Project.Approval.Year
p11,http://www.fifa.com/associations/association=ang/development-activities/goal/index.html,Angola,SUB-SAHARAN AFRICA,Other,04.07.2001,Luanda,Installation of a natural football pitch and renovation of the changing rooms,1,The objective of this project is;- to improve the facilities for the benefit of national and international competitions,400000,38835,0,0,438835,438835,391,84,539,51,-33,148,AGO,2001
p12,http://www.fifa.com/associations/association=arg/development-activities/goal/index.html,Argentina,LATIN AMER. & CARIB,Technical centre,02.06.2009,Buenos Aires,"Addition of futsal facilities at the technical centre. The project includes: offices and a meeting room for technical staff and players, a gymnasium, a medical clinic and lighting for beach soccer",3,The objectives of this project are;-to strengthen the development of futsal;-to provide the national futsal teams (men and women) with technical facilities;-to increase the use of the beach soccer pitch,400000,21434,0,0,421434,421434,1534,2,764,3,1,-770,ARG,2009
p13,http://www.fifa.com/associations/association=arg/development-activities/goal/index.html,Argentina,LATIN AMER. & CARIB,Other,03.12.2006,Buenos Aires,Construction of a futsal hall,2,The objective of this project is;-to develop futsal;-to provide the national futsal teams with adequate facilities,400000,533735,0,0,933735,933735,1534,2,764,3,1,-770,ARG,2006
p14,http://www.fifa.com/associations/association=arg/development-activities/goal/index.html,Argentina,LATIN AMER. & CARIB,Football pitch,01.05.2003,Buenos Aires,Rehabilitation of an existing sports complex. The project includes: reconstruction of football pitches and changing rooms,1,The objective of this project is;-to collaborate closely with the local municipality for the social development of the neighbourhood,400000,146652,0,0,546652,546653,1534,2,764,3,1,-770,ARG,2003
p15,http://www.fifa.com/associations/association=arm/development-activities/goal/index.html,Armenia,C.W. OF IND. STATES,Football pitch,18.10.2011,Gyumri,Installation of an artificial turf pitch at a football school for young talent,3,The objectives of this project are;- to develop young talented players (boys and girls);- to increase the number of players in remote regions,500000,0,3864767,0,4364767,446979,470,74,446,87,13,-24,ARM,2011
p16,http://www.fifa.com/associations/association=arm/development-activities/goal/index.html,Armenia,C.W. OF IND. STATES,Football pitch,07.11.2005,Yerevan,Installation of an artificial turf pitch at the youth academy,2,The objective of this project is;-to maximise usage of the facility throughout the year and under all weather conditions for youth team training and competitions,400000,0,0,0,400000,365700,470,74,446,87,13,-24,ARM,2005
p17,http://www.fifa.com/associations/association=arm/development-activities/goal/index.html,Armenia,C.W. OF IND. STATES,Technical centre,03.08.2000,Malatia,Renovation of the football school in Malatia that will be used as a technical centre,1,The objectives of this project are;-to create a base for youth football;-to organise training courses for the youth teams;-to organise the preparation of the national teams for qualification matches,400000,9994,70000,0,479994,409994,470,74,446,87,13,-24,ARM,2000
p18,http://www.fifa.com/associations/association=aru/development-activities/goal/index.html,Aruba,LATIN AMER. & CARIB,Technical centre,19.03.2014,"Yara, Savaneta.","Completion of the AVB Technical Centre in Yara, Savaneta.",3,"The objectives of the project are to;ï Provide a sustainable facility in Savaneta, in the eastern part of Aruba.;ï Develop a (regional) facility which can be used for training of youth national teams and clubs;ï To provide a facility for competitions, especially for youth (boys and girls)",500000,0,0,0,500000,NA,221,132,97,185,53,-124,ABW,2014
p19,http://www.fifa.com/associations/association=aru/development-activities/goal/index.html,Aruba,LATIN AMER. & CARIB,Technical centre,02.06.2009,Savaneta,"Installation of an artificial turf pitch. This project includes: two changing rooms, bathrooms, an office and an outdoor seating area",2,The objectives of this project are;- to provide a distinct location for the development of youth and women’s football;- to develop football in a region with no adequate facilities,400000,1247,0,0,401247,NA,221,132,97,185,53,-124,ABW,2009
p20,http://www.fifa.com/associations/association=aru/development-activities/goal/index.html,Aruba,LATIN AMER. & CARIB,Technical centre,04.07.2001,Noord,"Extension of the existing sport complex. The project includes: offices, a conference room, a multipurpose meeting room, a kitchen, dormitories, bathrooms and a laundry room",1,The objectives of this project are;- to provide a location specifically dedicated to training and courses;- to provide a suitable working environment for the refereeing department and executive committee,400000,553799,0,0,953799,953798,221,132,97,185,53,-124,ABW,2001
p21,http://www.fifa.com/associations/association=asa/development-activities/goal/index.html,American Samoa,OCEANIA,Headquarters,01.12.2009,Pago Pago,"Rebuilding of the headquarters and technical centre following the extensive tsunami damage. The project includes: upgrade and extension of playing facilities, two natural turf pitches, amenities for players, match officials and the public",3,"The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;- to extend the association’s Home of Football for all competitions and education programmes;-to provide adequate facilities for players, coaches, officials, administrators and the public;-to train and prepare the national teams at all levels;-to deliver elite youth player development programmes",400000,0,0,134241,400000,534240,12,200,0,203,3,-12,ASM,2009
p22,http://www.fifa.com/associations/association=asa/development-activities/goal/index.html,American Samoa,OCEANIA,Headquarters,02.06.2009,Pago Pago,"Rebuilding of the headquarters and technical centre following the extensive tsunami damage. The project includes: upgrade and extension of playing facilities, two natural turf pitches, amenities for players, match officials and the public",2,"The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to extend the association’s Home of Football for all competitions and education programmes;-to provide adequate facilities for players, coaches, officials, administrators and the public;- to train and prepare the national teams at all levels;-to deliver elite youth player development programmes",400000,0,0,61283,400000,461283,12,200,0,203,3,-12,ASM,2009
p23,http://www.fifa.com/associations/association=asa/development-activities/goal/index.html,American Samoa,OCEANIA,Headquarters,02.11.2002,Pago Pago,"Construction of administration and management offices. The project includes: an education centre, changing and shower facilities for players, officials and the public, maintenance and turf equipment, natural turf pitches, upgrading of the existing spectator tribune and security fencing",1,"The objectives of this project are;-to have ownership and undisrupted access to playing facilities for the establishment of regular competitions;-to provide a quality training and education centre for the preparation of national teams and for courses, youth development and grassroots programmes;-to deliver headquarters and administrative offices befitting a football association",400000,250000,0,216700,650000,866700,12,200,0,203,3,-12,ASM,2002
p24,http://www.fifa.com/associations/association=atg/development-activities/goal/index.html,Antigua and Barbuda,LATIN AMER. & CARIB,Football pitch,15.03.2010,Paynters St. George’s,Installation of a football pitch at the technical centre,3,"The objectives of this project are;-to provide adequate infrastructures for development programmes for coaches, referees, youth players;-to provide training facilities for the national teams;-to optimise the usage of the existing facility",400000,0,0,13200,400000,NA,344,99,238,148,49,-106,ATG,2010
p25,http://www.fifa.com/associations/association=atg/development-activities/goal/index.html,Antigua and Barbuda,LATIN AMER. & CARIB,Technical centre,07.11.2005,Paynters St. George’s,"Completion of the work initiated under Goal project I. The project includes: a new natural turf pitch, external walls, lights, showers and changing rooms",2,The objective of this project is;-to complete and develop the previous projects carried out by the association and FIFA,503098,0,100000,36800,603098,539898,344,99,238,148,49,-106,ATG,2005
p26,http://www.fifa.com/associations/association=atg/development-activities/goal/index.html,Antigua and Barbuda,LATIN AMER. & CARIB,Technical centre,24.10.2000,Paynters St. George’s,"Extension of the technical centre. The project includes: a natural turf pitch, fences and lighting",1,The objective of this project is;-to develop the technical infrastructure with the installation of a natural turf pitch,471364,0,0,0,471364,471364,344,99,238,148,49,-106,ATG,2000
p27,http://www.fifa.com/associations/association=aus/development-activities/goal/index.html,Australia,OCEANIA,Technical centre,25.09.2012,Melbourne,Construction of a high quality floodlighting infrastructure system at the natural turf pitch of the State Football Centre in Melbourne.,1,To provide adequate lighting to enable the evening use of the existing natural turf and as an initial infrastructure for the expansion to a second pitch adjacent.;To provide high quality facilities for the development of football in the country.,500000,0,0,0,500000,NA,548,63,485,70,7,-63,AUS,2012
p28,http://www.fifa.com/associations/association=aut/development-activities/goal/index.html,Austria,WESTERN EUROPE,IT projects,18.10.2011,Vienna and different regions,Purchase of notebooks to connect clubs and regional associations to the central IT system,1,"The objectives of this project are;- to facilitate working processes;- to improve communication between the regional associations, the clubs and the member association;- to coordinate all football-related activities throughout the country",500000,0,841443,0,1341443,500000,881,23,569,39,16,-312,AUT,2011
p29,http://www.fifa.com/associations/association=aze/development-activities/goal/index.html,Azerbaijan,C.W. OF IND. STATES,Football academy,18.03.2013,whole country,"Support of nationwide youth football leagues.;Change to the project proposed on 01.12.2009, which concerned the construction of a technical centre for the federation.",3,ï Improve the situation with the financing of the youth leagues;ï Develop youth football;ï Improve conditions for youth-leagues participants and increase participation in the youth leagues,411300,0,0,0,411300,185085,222,131,361,113,-18,139,AZE,2013
p30,http://www.fifa.com/associations/association=aze/development-activities/goal/index.html,Azerbaijan,C.W. OF IND. STATES,Headquarters,17.02.2005,Baku,Construction of the association’s headquarter,2,The objective of this project are;- to deliver headquarters and administrative offices befitting a football association;- to reduce costs,388700,0,1300000,0,2988700,388700,222,131,361,113,-18,139,AZE,2005
p31,http://www.fifa.com/associations/association=aze/development-activities/goal/index.html,Azerbaijan,C.W. OF IND. STATES,Football pitch,18.02.2005,Baku,Installation of an artificial turf pitch for training purposes,1,The objectives of this project are;- to improve football facilities at regional level;- to develop youth football,400000,313994,0,0,938994,713994,222,131,361,113,-18,139,AZE,2005
p32,http://www.fifa.com/associations/association=bah/development-activities/goal/index.html,Bahamas,LATIN AMER. & CARIB,Technical centre,19.03.2014,RALD Centre of Excellence.,Completion of Technical Centre at Malcolm Park (Beach Soccer / Futsal facility) and RALD Centre of Excellence.,4,The objectives of the project are to;ï Make the facilities suitable for hosting local and international competitions and events.;ï Provide adequate infrastructure for developing Beach Soccer and Futsal,500000,0,0,0,500000,NA,26,195,116,178,-17,90,BHS,2014
p33,http://www.fifa.com/associations/association=bah/development-activities/goal/index.html,Bahamas,LATIN AMER. & CARIB,Football academy,15.03.2010,"Nassau, BFA NCFD","Construction of A Beach Soccer Facility with playing field, stands, changing rooms & small office for officials, fencing, lighting and restrooms. The facility will be built at the same location as GPI&II.",3,"The Bahamas being islands, the BFA plans to focus more on the development of Beach Football for participation and as a new football product. The facility will enhance the possibility for international performance and local and international competitions.",400000,128062,0,0,528062,528062,26,195,116,178,-17,90,BHS,2010
p34,http://www.fifa.com/associations/association=bah/development-activities/goal/index.html,Bahamas,LATIN AMER. & CARIB,Football pitch,17.02.2004,Baillou Hill Sporting Complex,Completion of the work initiated under Goal project I.;Installation of an artificial turf pitch. The project includes: fencing and concession areas,2,The objectives of this project are;- to reduce costs;- to enhance the use of the facilities,400000,75200,230340,0,705540,475200,26,195,116,178,-17,90,BHS,2004
p35,http://www.fifa.com/associations/association=bah/development-activities/goal/index.html,Bahamas,LATIN AMER. & CARIB,Football pitch,18.02.2004,Baillou Hill Sporting Complex,"Installation of an international standard football pitch. The project includes: a reverse osmosis watering system, changing rooms, a referee changing room and storage facilities",1,The objectives of this project are;- to coordinate and execute the national development programme;- to guarantee the development of youth football,500000,76206,0,0,576206,576206,26,195,116,178,-17,90,BHS,2004
p36,http://www.fifa.com/associations/association=ban/development-activities/goal/index.html,Bangladesh,ASIA (EX. NEAR EAST),Football academy,27.03.2012,Sylhet,Creation of a national academy for U-18 players at the association’s technical centre in Sylhet,3,The objectives of this project are;-to identify players at the U-18 level for the national team;-to provide professional conditions for young talent (U-18 level);-to increase the level and profile of youth football in the country;-to increase the chances of participation in international competitions for the youth national teams,500000,0,0,0,500000,500000,129,157,237,149,-8,108,BGD,2012
p37,http://www.fifa.com/associations/association=ban/development-activities/goal/index.html,Bangladesh,ASIA (EX. NEAR EAST),Football pitch,07.11.2005,Dhaka,Installation of a football turf pitch at the BFF headquarters,2,The objective of this project is;-to support the league and enable matches to take place in an adequate environment,400000,94160,0,0,494160,493979,129,157,237,149,-8,108,BGD,2005
p38,http://www.fifa.com/associations/association=ban/development-activities/goal/index.html,Bangladesh,ASIA (EX. NEAR EAST),Headquarters,04.07.2001,Dhaka,Construction of the association’s headquarters and technical centre,1,The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to enable the association to use the technical centre for the integral formation of its various football teams,400000,96000,0,0,496000,496000,129,157,237,149,-8,108,BGD,2001
p39,http://www.fifa.com/associations/association=bdi/development-activities/goal/index.html,Burundi,SUB-SAHARAN AFRICA,Football pitch,19.03.2014,Gitega stadium,Football turf pitch which will be installed in Gitega stadium.,4,"Install an artificial turf in Gitega (2nd biggest town in Burundi), with the following objectives;1) Improve the quality of the football pitches for professional football and allow league matches to take place on good surfaces;2) Provide a training ground for local clubs;3) Enable the use of the stadium for national events and youth leagues;4) Expand grassroots and football activities in the whole country",500000,0,0,0,500000,NA,249,124,288,130,6,39,BDI,2014
p40,http://www.fifa.com/associations/association=bdi/development-activities/goal/index.html,Burundi,SUB-SAHARAN AFRICA,Technical centre,01.12.2009,Bujumbura,Extension of the technical centre. The project includes: football pitches,3,The objectives of this project are;-to help the association to optimise the use of its technical centre,400000,125000,0,0,525000,396630,249,124,288,130,6,39,BDI,2009
p41,http://www.fifa.com/associations/association=bdi/development-activities/goal/index.html,Burundi,SUB-SAHARAN AFRICA,Technical centre,21.03.2007,Bujumbura,Construction of a technical centre. The project includes: football pitches,2,The objective of this project is;-to provide the association with infrastructure for the training of all the teams,400000,50000,0,0,450000,447505,249,124,288,130,6,39,BDI,2007
p42,http://www.fifa.com/associations/association=bdi/development-activities/goal/index.html,Burundi,SUB-SAHARAN AFRICA,Headquarters,22.09.2004,Bujumbura,Construction of the association’s headquarters,1,The objective of this project is;-to deliver headquarters and administrative offices befitting a football association,399116,0,0,0,399116,399116,249,124,288,130,6,39,BDI,2004
p43,http://www.fifa.com/associations/association=bel/development-activities/goal/index.html,Belgium,WESTERN EUROPE,Other,27.03.2012,Tubize,"Construction of a sports medicine scientific centre. The project includes: fitness and medical treatment equipment, dressing rooms and recovery and meeting rooms",1,"The objectives of this project are;- to give medical and para-medical support in the development of young players, the prevention of injuries and recovery treatments;- to provide the association with a centre of excellence",500000,0,0,0,2300000,NA,1430,4,620,23,19,-810,BEL,2012
p44,http://www.fifa.com/associations/association=ben/development-activities/goal/index.html,Benin,SUB-SAHARAN AFRICA,Football pitch,18.03.2013,Missereté.,Football turf pitch at the NTC in Missereté.,4,"Make the technical centre more functional (Goal I and III), in order to;1) Develop grassroots football and youth football;2) Further develop women’s football;3) Better prepare the national teams;4) Improve the quality of the game",500000,0,0,0,500000,234000,359,95,243,145,50,-116,BEN,2013
p45,http://www.fifa.com/associations/association=ben/development-activities/goal/index.html,Benin,SUB-SAHARAN AFRICA,Technical centre,02.06.2009,Porto Novo,"Completion of the national technical centre. The project includes: fencing, a watering system, a power supply and painting",3,"The objective of this project is;-to organise courses, seminars and activities for the development of youth and women’s football",400000,122619,0,0,522619,522619,359,95,243,145,50,-116,BEN,2009
p46,http://www.fifa.com/associations/association=ben/development-activities/goal/index.html,Benin,SUB-SAHARAN AFRICA,Headquarters,28.09.2006,Porto Novo,Construction of headquarters and installation of new;equipment for the technical centre,2,"The objectives of this project are;- to deliver headquarters and administrative offices befitting a football association;- to organise courses, seminars and activities for the development of youth and women’s football",400000,6238,0,0,406238,406238,359,95,243,145,50,-116,BEN,2006
p47,http://www.fifa.com/associations/association=ben/development-activities/goal/index.html,Benin,SUB-SAHARAN AFRICA,Technical centre,04.07.2001,Porto Novo and Abomé,Construction of a technical centre in Porto Novo and a football academy in Abomé,1,"The objectives of this project are;- to organise courses, seminars and activities for the development of youth and women’s football;- to ensure the development of young talent",400000,261497,0,0,661497,661496,359,95,243,145,50,-116,BEN,2001
p48,http://www.fifa.com/associations/association=ber/development-activities/goal/index.html,Bermuda,NORTHERN AMERICA,Headquarters,01.12.2009,Parish of Devonshire,"Construction work to complete the association’s headquarters. The project includes: offices, meeting rooms, a kitchenette and bathrooms",4,"The objectives of this project are;- to support development programmes of the academy, national teams and referees;- to provide infrastructure for the organisation of courses and seminars;- to deliver headquarters and administrative offices befitting a football association",400000,0,0,0,400000,136001,55,180,218,152,-28,163,BMU,2009
p49,http://www.fifa.com/associations/association=ber/development-activities/goal/index.html,Bermuda,NORTHERN AMERICA,Headquarters,01.12.2009,Parish of Devonshire,Completion of the work initiated under Goal project III. The project includes: offices and multifunctional meeting areas,3,The objective of this project is;- to complete and develop the previous projects carried out by the association and FIFA,400000,497,0,0,400497,265763,55,180,218,152,-28,163,BMU,2009
p50,http://www.fifa.com/associations/association=ber/development-activities/goal/index.html,Bermuda,NORTHERN AMERICA,Football pitch,04.02.2008,Parish of Devonshire,Completion of the work initiated under Goal project I. The project includes: the installation of an artificial turf pitch and other facilities,2,The objective of this project is;- to complete and develop the previous projects carried out by the association and FIFA,400000,54591,0,0,714086,454591,55,180,218,152,-28,163,BMU,2008
p51,http://www.fifa.com/associations/association=ber/development-activities/goal/index.html,Bermuda,NORTHERN AMERICA,Football pitch,02.11.2002,Parish of Devonshire,Installation of an artificial turf pitch. The project includes a lighting system,1,The objectives of this project are;- to maximise usage of the facility throughout the year and under all weather conditions;- to improve the preparation of national teams,400000,88884,0,160157,488884,649041,55,180,218,152,-28,163,BMU,2002
p52,http://www.fifa.com/associations/association=bfa/development-activities/goal/index.html,Burkina Faso,SUB-SAHARAN AFRICA,Football pitch,03.09.2013,WOBI stadium in Bobo Dioulasso,Football turf pitch and floodlighting at the WOBI stadium in Bobo Dioulasso for the Burkinabe Football Association.,5,nstallation of a football turf pitch and floodlighting with the aim of achieving the following objectives;1) To make it possible to play matches at night;2) To organise more local matches;3) To host international matches;4) To develop youth and women’s football by organising approximately 15 matches per week,546018,0,0,0,546018,NA,513,68,480,73,5,-33,BFA,2013
p53,http://www.fifa.com/associations/association=bfa/development-activities/goal/index.html,Burkina Faso,SUB-SAHARAN AFRICA,Technical centre,26.10.2010,Burkina Faso,"Changes the project proposed on 26.10.2010, which concerned the construction of the Headquarters for the regional leagues.;Following the discussion with the new leadership, it was agreed that the federation will negotiate with the state authorities for existing office space for the benefit of the regional leagues, and FIFA will support them with purchase of material. In this way, additional funds will be created for supporting women’s and youth leagues, and for football development activities",4,"1- Purchases: Provide the federation and the regional leagues with office equipment (furniture, computers, printers, phones, etcÖ). The aim of the project is to strengthen the administrative capacities of the federation and the regional leagues, thus enabling the decentralisation of football activities, particularly regional competitions;2- Women’s football: Provide additional funds to women’s football, ensure continuity of the existing league and improve the quality of the game through technical development activities;3)- Youth football: Provide additional resources for the Technical Direction and the Competition Department, enable the creation of a Youth League.",353982,0,0,0,353982,220572,513,68,480,73,5,-33,BFA,2010
p54,http://www.fifa.com/associations/association=bfa/development-activities/goal/index.html,Burkina Faso,SUB-SAHARAN AFRICA,Headquarters,01.12.2009,Ouagadougou,Construction work to complete the association’s headquarters and the technical centre,3,The objective of this project is;- to help the association to optimise the use of its headquarters,400000,21726,0,0,421726,421726,513,68,480,73,5,-33,BFA,2009
p55,http://www.fifa.com/associations/association=bfa/development-activities/goal/index.html,Burkina Faso,SUB-SAHARAN AFRICA,Headquarters,15.03.2006,Ouagadougou,Construction of the association’s headquarters,2,The objective of this project is;- to deliver headquarters and administrative offices befitting a football association,400000,193140,0,0,593140,593140,513,68,480,73,5,-33,BFA,2006
p56,http://www.fifa.com/associations/association=bfa/development-activities/goal/index.html,Burkina Faso,SUB-SAHARAN AFRICA,Technical centre,04.07.2001,Ouagadougou,Construction of the technical centre,1,"The objective of this project is;- to organise courses, seminars and activities for the development of youth and women’s football",400000,19991,0,0,419991,419991,513,68,480,73,5,-33,BFA,2001
p57,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Other,03.09.2013,Manamah,The project will be realized in three phases. The indoor stadium includes;ï Turf football field;ï One stand with a capacity for 2000 spectators;ï Administrative offices;ï Facilities (for players and spectators),6,ï Provide indoor facilities with a turf football field to be used during summertime;ï Have full integration projects in the complex as well as multipurpose activities,500000,100000,0,0,600000,NA,322,103,274,133,30,-48,BHR,2013
p58,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Headquarters,26.10.2010,Manamah,"Construction of a new building at the headquarters. The project includes: offices, seminar rooms, classrooms and an auditorium",5,The objectives of this project are;-to extend the headquarters complex;-to upgrade the existing football infrastructure,400000,225000,0,0,625000,625000,322,103,274,133,30,-48,BHR,2010
p59,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Football academy,22.10.2008,Manamah,"This is a pilot project. Talent academy at the technical centre. The project consists of training sessions for players five times a week after school and during school holidays. The academy will provide transportation and food.;The talent academy staff will consist of a full-time head coach, part-time assistant coach and goalkeeper/fitness coach",4,The objectives of this project are;-to provide professional training to talented youth players;- to improve the performance of the youth and men’s national teams;-to fully use the technical centre and its facilities,400000,0,0,0,400000,400000,322,103,274,133,30,-48,BHR,2008
p60,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Football pitch,21.03.2007,Manamah,Installation of two artificial turf pitches at the technical centre,3,The objective of this project is;-to provide the association with training facilities for its youth and women’s teams,400000,532000,0,0,932000,932000,322,103,274,133,30,-48,BHR,2007
p61,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Technical centre,22.09.2004,Manamah,Construction of a technical centre in Isa Town,2,The objectives of this project are;-to enable the association to use the technical centre for the training of its various teams and administrative staff;-to organise national camps for the development of football,400000,450000,531867,0,1381867,850000,322,103,274,133,30,-48,BHR,2004
p62,http://www.fifa.com/associations/association=bhr/development-activities/goal/index.html,Bahrain,NEAR EAST,Headquarters,04.07.2001,Manamah,Construction of the association’s headquarters. The project includes: a conference hall and meeting rooms,1,The objective of this project is;-to deliver headquarters and administrative offices befitting a football association,400000,368200,56000,0,824200,768200,322,103,274,133,30,-48,BHR,2001
p63,http://www.fifa.com/associations/association=bhu/development-activities/goal/index.html,Bhutan,ASIA (EX. NEAR EAST),Football pitch,18.10.2011,Thimphu,Installation of two mini artificial turf pitches in addition to the existing full-sized turf pitch at the national stadium,4,The objective of this project is;-to improve football facilities in the region,500000,0,0,0,500000,500000,0,209,15,200,-9,15,BTN,2011
p64,http://www.fifa.com/associations/association=bhu/development-activities/goal/index.html,Bhutan,ASIA (EX. NEAR EAST),Football pitch,26.10.2010,Thimphu,Installation of an artificial turf pitch at the national stadium in Bhutan,3,The objective of this project is;-to support the league and enable matches to take place in an adequate environment,400000,0,0,0,400000,400000,0,209,15,200,-9,15,BTN,2010
p65,http://www.fifa.com/associations/association=bhu/development-activities/goal/index.html,Bhutan,ASIA (EX. NEAR EAST),Technical centre,15.03.2006,Gelephu Thimpu,"Extension of the technical centre in Thimpu. The project includes: a pavilion and changing rooms.;Extension of the technical centre in Gelephu. The project includes: a playground, a pavilion, changing rooms and a dormitory",2,The objective of this project is;-to improve football facilities in the region,400000,0,0,0,400000,385869,0,209,15,200,-9,15,BTN,2006
p66,http://www.fifa.com/associations/association=bhu/development-activities/goal/index.html,Bhutan,ASIA (EX. NEAR EAST),Headquarters,04.07.2001,Thimphu,Construction of the association’s headquarters and a youth development centre. The project includes: a football pitch,1,The objectives of this project are;-to deliver headquarters and administrative offices befitting a football association;-to provide facilities for the training of youth players,400000,99941,0,0,499941,499941,0,209,15,200,-9,15,BTN,2001
p67,http://www.fifa.com/associations/association=bih/development-activities/goal/index.html,Bosnia and Herzegovina,EASTERN EUROPE,Technical centre,28.02.2011,Zenica,Construction of a regional technical centre for the Bosnian FA,1,The objectives of this project are;- to promote grassroots and youth development programmes;- to provide a venue for the training of the national teams,435875,0,0,164125,435875,600000,832,30,466,78,48,-366,BIH,2011
p68,http://www.fifa.com/associations/association=bih/development-activities/goal/index.html,Bosnia and Herzegovina,EASTERN EUROPE,Football pitch,04.07.2001,Oraöje,Installation of an artificial turf pitch at the regional technical centre,0,The objectives of this project are;- to develop youth football and education;- to provide a venue for the training of the national team;- to support the preparation of local clubs,64125,0,0,335878,64125,400003,832,30,466,78,48,-366,BIH,2001
